Pos_Current,WIDTH,distance,ID
"[528.0, 0.0]",240,0,0
"[0.0, 360.0]",160,639.0,2.998
"[-528.0, 360.0]",80,528.0,3.722
"[0.0, 360.0]",240,528.0,2.138
"[0.0, -360.0]",240,720.0,2.585
"[528.0, 0.0]",80,639.0,3.998
"[528.0, 360.0]",160,360.0,2.17
"[0.0, 0.0]",160,639.0,2.998
"[0.0, 360.0]",160,360.0,2.17
"[-528.0, 360.0]",80,528.0,3.722
"[528.0, -360.0]",160,1278.0,3.998
"[-528.0, 0.0]",240,1116.0,3.217
"[528.0, 360.0]",240,1116.0,3.217
"[528.0, 0.0]",160,360.0,2.17
"[-528.0, -360.0]",80,1116.0,4.802
"[528.0, 360.0]",80,1278.0,4.998
"[528.0, 0.0]",80,360.0,3.17
"[-528.0, 360.0]",80,1116.0,4.802
"[0.0, 360.0]",80,528.0,3.722
"[-528.0, -360.0]",160,893.0,3.48
"[0.0, -360.0]",240,528.0,2.138
"[-528.0, 0.0]",80,639.0,3.998
"[-528.0, 360.0]",160,360.0,2.17
"[-528.0, 0.0]",160,360.0,2.17
"[528.0, -360.0]",240,1116.0,3.217
"[-528.0, 0.0]",160,1116.0,3.802
"[528.0, -360.0]",80,1116.0,4.802
"[-528.0, 360.0]",240,1278.0,3.413
"[-528.0, 0.0]",80,360.0,3.17
"[528.0, 360.0]",240,1116.0,3.217
"[528.0, 0.0]",80,360.0,3.17
"[0.0, 0.0]",160,528.0,2.722
"[528.0, 360.0]",160,639.0,2.998
"[-528.0, 0.0]",160,1116.0,3.802
"[-528.0, -360.0]",160,360.0,2.17
"[528.0, -360.0]",240,1056.0,3.138
"[-528.0, 0.0]",160,1116.0,3.802
"[0.0, 0.0]",80,528.0,3.722
"[-528.0, -360.0]",80,639.0,3.998
"[528.0, 360.0]",160,1278.0,3.998
"[0.0, -360.0]",80,893.0,4.48
"[-528.0, 0.0]",160,639.0,2.998
"[0.0, 0.0]",240,528.0,2.138
"[528.0, 0.0]",240,528.0,2.138
"[0.0, 0.0]",240,528.0,2.138
"[528.0, 360.0]",160,639.0,2.998
"[0.0, -360.0]",240,893.0,2.895
"[0.0, 360.0]",160,720.0,3.17
"[0.0, -360.0]",160,720.0,3.17
"[-528.0, 0.0]",240,639.0,2.413
"[-528.0, 360.0]",160,360.0,2.17
"[528.0, 0.0]",240,1116.0,3.217
"[528.0, -360.0]",160,360.0,2.17
"[0.0, -360.0]",80,528.0,3.722
"[0.0, 0.0]",80,360.0,3.17
"[528.0, 0.0]",80,528.0,3.722
"[-528.0, 0.0]",80,1056.0,4.722
"[0.0, 360.0]",160,639.0,2.998
"[0.0, -360.0]",240,720.0,2.585
"[-528.0, 360.0]",80,893.0,4.48
"[-528.0, 0.0]",80,360.0,3.17
"[528.0, -360.0]",160,1116.0,3.802
"[528.0, 360.0]",240,720.0,2.585
"[-528.0, 0.0]",80,1116.0,4.802
"[528.0, 360.0]",160,1116.0,3.802
"[-528.0, 0.0]",160,1116.0,3.802
"[-528.0, -360.0]",80,360.0,3.17
"[0.0, 360.0]",240,893.0,2.895
"[-528.0, 0.0]",240,639.0,2.413
"[528.0, -360.0]",160,1116.0,3.802
"[-528.0, 0.0]",160,1116.0,3.802
"[0.0, 0.0]",80,528.0,3.722
"[528.0, 360.0]",160,639.0,2.998
"[0.0, 360.0]",160,528.0,2.722
"[528.0, -360.0]",240,893.0,2.895
"[-528.0, -360.0]",80,1056.0,4.722
"[528.0, -360.0]",160,1056.0,3.722
"[0.0, -360.0]",160,528.0,2.722
"[-528.0, 360.0]",80,893.0,4.48
"[-528.0, 0.0]",160,360.0,2.17
"[528.0, 0.0]",160,1056.0,3.722
"[0.0, -360.0]",80,639.0,3.998
"[-528.0, 360.0]",160,893.0,3.48
"[528.0, 0.0]",80,1116.0,4.802
"[-528.0, -360.0]",80,1116.0,4.802
"[528.0, 360.0]",160,1278.0,3.998
"[-528.0, 0.0]",160,1116.0,3.802
"[0.0, 0.0]",160,528.0,2.722
"[528.0, 0.0]",80,528.0,3.722
"[0.0, -360.0]",160,639.0,2.998
"[528.0, -360.0]",240,528.0,2.138
"[-528.0, 360.0]",80,1278.0,4.998
"[528.0, 0.0]",160,1116.0,3.802
"[-528.0, 0.0]",160,1056.0,3.722
"[-528.0, 360.0]",240,360.0,1.585
"[528.0, 0.0]",80,1116.0,4.802
"[528.0, -360.0]",160,360.0,2.17
"[-528.0, -360.0]",80,1056.0,4.722
"[-528.0, 360.0]",160,720.0,3.17
"[528.0, 360.0]",240,1056.0,3.138
"[-528.0, -360.0]",240,1278.0,3.413
"[0.0, 360.0]",160,893.0,3.48
"[0.0, -360.0]",240,720.0,2.585
